Customer_ID,Name,Gender,Age,City,Country,Phone_Number,Signup_Date,Last_Purchase_Date,Purchase_Amount,Feedback_Score,Email
CUST100070,Umang Kuruvilla,Male,60,SURAT,India,9911625302,2023-06-23,2025-07-01,30895.97,5.0,prisha23@toor.biz
CUST100415,Biju Zacharia,Male,30,AHMEDABAD,India,9802425725,2023-06-09,2022-08-02,37295.03,3.0,ahana-vohra@gmail
CUST105322,Emir Gade,Male,18,GUNTUR,India,Unknown,2021-11-05,2021-07-27,43466.3,5.0,aayushbhandari@gmail
CUST102345,Kiara Golla,Female,58,KANPUR,India,6210167478,2024-02-04,2021-07-08,54298.32,8.0,hazeldyalgmail.com
CUST110053,Samaira Kota,Male,25,SURAT,India,Unknown,2023-06-28,2023-03-14,32283.65,3.0,jivika86@gmail
CUST107388,Shayak Barman,Male,44,AHMEDABAD,India,Unknown,2022-06-11,2022-11-19,36117.88,2.0,handaabramgmail.com
CUST102402,Abram Malhotra,Female,19,SURAT,India,Unknown,2021-10-03,2022-04-26,51369.9,7.0,baliuthkarshgmail.com
CUST102354,Ahana  Dash,Male,33,PATNA,India,Unknown,2024-11-15,2024-07-22,23460.73,9.0,manikya17gmail.com
CUST103855,Renee Ramachandran,Male,65,DELHI,India,Unknown,2022-08-01,2021-09-22,17172.55,5.0,dkuruvilla@yahoo.com
CUST106787,Shanaya Sawhney,Female,35,VIJAYAWADA,India,9208338358,2023-09-19,2023-04-08,30396.03,8.0,birkismat@hotmail.com
CUST104367,Bhamini Thakkar,Female,24,JAIPUR,India,Unknown,2024-12-20,2025-08-13,14891.0,3.0,mohanlalgoda@gmail.com
CUST106935,Advika Ramesh,Male,22,PUNE,India,8280051256,2023-04-23,2022-08-19,41473.02,8.0,koshyalisha@gmail
CUST105735,Tiya Deep,Male,46,JAIPUR,India,Unknown,2021-04-18,2022-12-26,39870.77,9.0,gandhimishagmail.com
CUST102242,Sara Lalla,Female,59,RANCHI,India,6828541520,2022-03-15,2021-04-06,17087.78,6.0,divanaarna@gmail.com
CUST109689,Gokul Issac,Male,49,COIMBATORE,India,9394429375,2021-08-31,2021-06-16,69341.79,1.0,qbhargava@gmail.com
CUST101027,Nishith Ravel,Prefer Not To Say,19,ERODE,India,6548152270,2021-06-30,2022-09-09,24142.84,5.0,bmammen@hotmail.com
CUST103345,Shray Kumer,Prefer Not To Say,58,KANPUR,India,8772861101,2023-04-13,2025-01-23,8131.87,8.0,fbail@gmail
CUST103208,Kiara Batta,Female,67,TRICHY,India,Unknown,2025-11-14,2023-05-12,23472.18,3.0,soodtiya@gmail
CUST103463,Tushar Date,Male,23,RANCHI,India,Unknown,2022-10-15,2025-01-19,25681.79,2.0,hridaan59@gmail
CUST108145,Shayak Sarna,Prefer Not To Say,44,MADURAI,India,Unknown,2025-07-11,2025-04-08,39368.86,9.0,lcontractor@yahoo.com
CUST100959,Raunak Borde,Male,21,NAGPUR,India,9464026287,2021-06-02,2024-09-17,48115.17,5.0,vedikakaur@bumb.info
CUST105136,Divyansh Deshpande,Female,42,,India,Unknown,2023-12-12,2023-07-21,36354.28,3.0,neysasastry@gmail
CUST101738,Hridaan Wason,Male,33,,India,Unknown,2024-04-19,2024-10-27,14722.94,5.0,cswamy@gmail
CUST102838,Reyansh Balasubramanian,Prefer Not To Say,29,KANPUR,India,9561699546,2023-02-01,2025-01-05,18988.1,8.0,ichadha@hotmail.com
CUST104620,Mehul Lala,Female,41,JAIPUR,India,8956042617,2022-08-21,2021-03-22,54026.64,3.0,miraan59@hotmail.com
CUST100388,Jayant Sule,Male,70,JAIPUR,India,6800761736,2022-09-23,2023-01-13,35623.02,2.0,drishya70gmail.com
CUST101266,Ryan Sandal,Male,55,,India,8116939585,2024-07-22,2022-07-23,45922.89,7.0,bsoman@gmail.com
CUST109366,Hazel Kade,Female,50,MUMBAI,India,Unknown,2022-03-11,2021-02-21,41912.32,6.0,ydutta@gmail
CUST105161,Advik Tata,Female,44,RANCHI,India,Unknown,2022-03-08,2024-12-07,3860.38,5.0,hanshkibe@dara-tara.biz
CUST101028,Ojas Dada,Male,65,,India,Unknown,2025-05-23,2021-08-23,21881.49,8.0,ubajwagmail.com
CUST102812,Aarav Dasgupta,Male,45,ERODE,India,8367961195,2023-06-12,2024-12-12,30396.03,3.0,anya61@mahajan.com
CUST107001,Siya Mahal,Male,44,LUCKNOW,India,Unknown,2022-04-12,2025-07-08,11840.62,8.0,bhasindevanshgmail.com
CUST105036,Chirag Ganesan,Male,46,DELHI,India,Unknown,2025-07-31,2024-02-14,49596.33,9.0,ikorpalgmail.com
CUST100682,Umang Mani,Male,44,RANCHI,India,Unknown,2025-08-16,2025-07-22,70608.53,6.0,aarna07@hotmail.com
CUST109462,Charvi Yohannan,Male,29,,India,8649083913,2025-05-25,2023-07-05,58240.17,1.0,madhupmalhotra@din.biz
CUST100248,Romil Chaudhry,Female,57,COIMBATORE,India,Unknown,2021-05-02,2024-12-03,4856.17,8.0,indranilgopalgmail.com
