Customer_ID,Name,Gender,Age,City,Country,Phone_Number,Signup_Date,Last_Purchase_Date,Purchase_Amount,Feedback_Score,Email
cust100070,Umang Kuruvilla,male,60 yrs,SURAT,India,9911625302,23-06-2023,01-07-2025,30895.97,5,prisha23@toor.biz
Cust100415,Biju Zacharia,Male,30 years,ahmedabad,India,+91 98024 25725,09-06-2023,02-08-2022,37295.03,3,ahana-vohra@gmail
Cust105322,Emir Gade,Male,18 yrs,Guntur,India,-119324,05-11-2021,27-07-2021,43466.3,5,aayushbhandari@gmail
CUST102345,Kiara Golla,F,58 yrs,kanpur,India,6210167478,04-02-2024,08-07-2021,54298.32,8,hazeldyalgmail.com
CUST110053,Samaira Kota,M,25 years,surat,India,,28-06-2023,14-03-2023,32283.65,3,jivika86@gmail
Cust107388,Shayak Barman,M,,ahmedabad,India,-156571,11-06-2022,19-11-2022,36117.88,2,handaabramgmail.com
cust102402,Abram Malhotra,Female,19,SURAT,India,-186769,03-10-2021,26-04-2022,51369.9,7,baliuthkarshgmail.com
Cust109313,Rati Barad,M,48 yrs,,India,,19-01-2025,11-04-2023,93723.35,6,lben@gmail
Cust102354,Ahana  Dash,M,33 years,Patna,India,,15-11-2024,22-07-2024,23460.73,9,manikya17gmail.com
cust103855,Renee Ramachandran,male,65 yrs,DELHI,India,,01-08-2022,22-09-2021,17172.55,5,dkuruvilla@yahoo.com
cust106787,Shanaya Sawhney,Female,35 yrs,Vijayawada,India,+91 92083 38358,19-09-2023,08-04-2023,N/A,8,birkismat@hotmail.com
Cust104367,Bhamini Thakkar,F,24,jaipur,India,-96384,20-12-2024,13-08-2025,14891,3,mohanlalgoda@gmail.com
cust108674,Anahi Mannan,F,41 years,vijayawada,India,-150511,04-09-2023,24-08-2024,97910.78,2,chiraglad@yahoo.com
CUST106935,Advika Ramesh,male,22,pune,India,8280051256,23-04-2023,19-08-2022,41473.02,8,koshyalisha@gmail
cust105735,Tiya Deep,male,46 years,jaipur,India,,18-04-2021,26-12-2022,39870.77,9,gandhimishagmail.com
Cust102242,Sara Lalla,Female,59 yrs,ranchi,India,+91 68285 41520,15-03-2022,06-04-2021,17087.78,6,divanaarna@gmail.com
cust109689,Gokul Issac,Male,49 yrs,Coimbatore,India,+91 93944 29375,31-08-2021,16-06-2021,69341.79,1,qbhargava@gmail.com
Cust101027,Nishith Ravel,,19,Erode,India,+91 65481 52270,30-06-2021,09-09-2022,24142.84,5,bmammen@hotmail.com
Cust103345,Shray Kumer,,58,KANPUR,India,8772861101,13-04-2023,23-01-2025,8131.87,8,fbail@gmail
cust103208,Kiara Batta,Female,67 yrs,TRICHY,India,,14-11-2025,12-05-2023,23472.18,3,soodtiya@gmail
Cust103463,Tushar Date,M,23 years,ranchi,India,,15-10-2022,19-01-2025,25681.79,2,hridaan59@gmail
